"province","prize_special","prize_one","prize_two","prize_three","prize_four","prize_five","prize_six","prize_seven","prize_eight","date"
"Bình Dương","929522","84909","97845","59839 - 04041","23629 - 70159 - 14527 - 02590 - 24516 - 44765 - 21107","0188","3743 - 4036 - 3356","655","42","25/10/2024"
"Bạc Liêu","330795","01605","66763","78847 - 17635","09363 - 97405 - 05417 - 79250 - 54563 - 37950 - 08838","8462","2379 - 3173 - 6888","452","96","22/10/2024"
"Đà Nẵng","488083","62924","56484","93584 - 57732","84512 - 39249 - 09479 - 13594 - 64115 - 49807 - 75388","2254","6787 - 8741 - 2462","416","84","26/10/2024"
"Đắk Nông","169030","03024","44181","84289 - 94723","72928 - 57929 - 99581 - 78996 - 79020 - 59459 - 39612","1391","8602 - 7175 - 1362","523","40","26/10/2024"
"Sóc Trăng","457163","03001","96968","42285 - 81973","09091 - 57738 - 24107 - 55081 - 45491 - 05304 - 61583","0393","7748 - 3148 - 0367","305","19","23/10/2024"
"Vĩnh Long","800032","46480","94195","78078 - 62109","91444 - 94496 - 25538 - 49836 - 66533 - 45860 - 86224","1699","3721 - 3666 - 8520","520","60","25/10/2024"
"Khánh Hòa","577483","74754","05020","82286 - 10965","61605 - 68574 - 03426 - 94249 - 50672 - 16638 - 42039","3684","4376 - 7715 - 1159","647","68","27/10/2024"
"An Giang","275437","63677","15926","60491 - 67426","89535 - 13727 - 15350 - 83159 - 21701 - 18301 - 62996","8820","3104 - 1089 - 3279","762","75","24/10/2024"
"Tiền Giang","062909","80035","25529","52684 - 51662","80107 - 30881 - 05915 - 51558 - 74098 - 28688 - 30248","0062","3591 - 4484 - 1607","231","25","27/10/2024"
"Đồng Tháp","949617","39872","33826","28428 - 51136","97561 - 26115 - 49869 - 88518 - 74768 - 70458 - 74256","4407","7035 - 8427 - 1575","529","03","28/10/2024"
"Kon Tum","602156","08277","75779","20237 - 54793","37613 - 18906 - 72337 - 20754 - 47695 - 39585 - 02912","2453","5384 - 4591 - 0556","693","16","27/10/2024"
"Bình Phước","907422","23857","00122","93162 - 93681","32081 - 17707 - 19937 - 35364 - 44832 - 53956 - 85956","0023","3285 - 9151 - 9474","168","42","26/10/2024"
