"province","prize_special","prize_one","prize_two","prize_three","prize_four","prize_five","prize_six","prize_seven","prize_eight","date"
"TP Hồ Chí Minh","111170","87285","63283","23867 - 68504","88499 - 70256 - 39475 - 73142 - 61608 - 19556 - 04710","6194","1596 - 7597 - 4076","134","29","14/10/2024"
"Đồng Tháp","902602","55349","53367","73446 - 26265","31683 - 41680 - 46660 - 46345 - 78395 - 07701 - 32918","8101","7594 - 1737 - 0875","371","65","14/10/2024"
"Cà Mau","782537","78226","86426","41004 - 33462","77415 - 96983 - 97324 - 58352 - 71779 - 36854 - 51632","9930","8406 - 6106 - 9096","708","90","14/10/2024"
"Đồng Tháp","197268","87221","99660","91048 - 46362","70487 - 63514 - 37871 - 08050 - 26423 - 86439 - 08965","9347","2006 - 8887 - 9992","012","70","21/10/2024"
"Cà Mau","378297","98535","19033","15664 - 92530","73710 - 16849 - 93800 - 50711 - 60964 - 65235 - 30294","5492","1894 - 4748 - 3353","449","96","21/10/2024"
"TP Hồ Chí Minh","069169","83925","34576","31016 - 76145","11856 - 73671 - 87030 - 46402 - 04680 - 00535 - 64868","1494","9368 - 0308 - 2655","083","19","21/10/2024"
"Bình Dương","929522","84909","97845","59839 - 04041","23629 - 70159 - 14527 - 02590 - 24516 - 44765 - 21107","0188","3743 - 4036 - 3356","655","42","25/10/2024"
"Bạc Liêu","330795","01605","66763","78847 - 17635","09363 - 97405 - 05417 - 79250 - 54563 - 37950 - 08838","8462","2379 - 3173 - 6888","452","96","22/10/2024"
"Đà Nẵng","569773","37936","86061","46325 - 29258","64424 - 45880 - 97168 - 09815 - 00529 - 40798 - 83237","0260","7359 - 3867 - 4707","517","49","23/10/2024"
"Đắk Nông","665811","86201","40097","05324 - 34788","95855 - 42623 - 85181 - 24974 - 27318 - 37521 - 72053","9046","8904 - 9455 - 2023","459","39","19/10/2024"
"Sóc Trăng","457163","03001","96968","42285 - 81973","09091 - 57738 - 24107 - 55081 - 45491 - 05304 - 61583","0393","7748 - 3148 - 0367","305","19","23/10/2024"
"Vĩnh Long","800032","46480","94195","78078 - 62109","91444 - 94496 - 25538 - 49836 - 66533 - 45860 - 86224","1699","3721 - 3666 - 8520","520","60","25/10/2024"
"Khánh Hòa","647225","86046","21548","12316 - 56289","17341 - 56318 - 16072 - 15220 - 06422 - 60770 - 80853","9152","5339 - 1151 - 5731","530","61","23/10/2024"
"An Giang","275437","63677","15926","60491 - 67426","89535 - 13727 - 15350 - 83159 - 21701 - 18301 - 62996","8820","3104 - 1089 - 3279","762","75","24/10/2024"
"Tiền Giang","019804","16833","82676","23973 - 22280","08409 - 06156 - 55313 - 12385 - 21312 - 68752 - 60295","5751","8422 - 3392 - 2796","882","89","20/10/2024"
"Kon Tum","080332","50032","89407","91620 - 53138","62921 - 89377 - 72293 - 49744 - 90438 - 91498 - 86533","1689","8806 - 2359 - 6642","631","84","20/10/2024"
"Bình Phước","252139","28519","89002","27094 - 99318","45733 - 12204 - 69521 - 48462 - 11001 - 45298 - 35170","6350","7895 - 4916 - 3639","857","05","19/10/2024"
"Long An","208012","25871","20049","65392 - 43707","56783 - 30328 - 87731 - 00420 - 38201 - 57967 - 69518","6795","1593 - 4907 - 5399","027","34","19/10/2024"
"Quảng Bình","119997","36579","54882","20322 - 41816","68325 - 28914 - 67151 - 11935 - 24543 - 34676 - 43741","3558","5024 - 8773 - 4562","248","98","24/10/2024"
"Ninh Thuận","351305","56114","81018","34534 - 67342","93315 - 32803 - 08229 - 70852 - 46830 - 82633 - 73754","0685","5240 - 2782 - 7976","461","60","25/10/2024"
"Gia Lai","588840","88907","30566","88758 - 01198","45774 - 53895 - 96454 - 98353 - 59994 - 04740 - 05224","0673","5110 - 3371 - 4113","445","07","25/10/2024"
"Bình Định","122309","08189","81029","25382 - 66569","71478 - 73511 - 48066 - 07076 - 57049 - 93897 - 92399","2399","6989 - 2661 - 2033","060","11","24/10/2024"
"Đà Lạt","521527","77351","22121","60060 - 63032","76874 - 82601 - 34658 - 34969 - 68354 - 62292 - 71848","1217","1547 - 6895 - 5504","729","76","20/10/2024"
"Phú Yên","418659","71255","09892","28487 - 73074","93372 - 05104 - 54798 - 03324 - 86089 - 87551 - 95632","2372","7388 - 6393 - 6202","112","44","21/10/2024"
"TP. HCM","069169","83925","34576","31016 - 76145","11856 - 73671 - 87030 - 46402 - 04680 - 00535 - 64868","1494","9368 - 0308 - 2655","083","19","21/10/2024"
"Thừa Thiên Huế","855967","52148","72269","07865 - 14275","95676 - 51374 - 24684 - 77943 - 92506 - 50915 - 84094","0638","0654 - 6295 - 1610","638","54","21/10/2024"
"Vũng Tàu","819041","02249","80819","62036 - 10477","25123 - 56838 - 96883 - 38746 - 70077 - 54054 - 32236","1487","0253 - 9305 - 2643","472","67","22/10/2024"
"Cần Thơ","695165","33056","57615","82842 - 19971","34760 - 65943 - 13776 - 59035 - 70143 - 58021 - 47951","6481","6173 - 5798 - 1318","547","78","23/10/2024"
"Đắk Lắk","597890","43201","53443","45062 - 93234","13811 - 34697 - 95892 - 58955 - 25849 - 35874 - 67295","5437","6191 - 2878 - 0059","711","27","22/10/2024"
"Quảng Trị","899897","36181","41794","41157 - 81188","31666 - 07842 - 01659 - 68191 - 11370 - 74151 - 65338","6072","6914 - 6495 - 1071","560","11","24/10/2024"
"Tây Ninh","318056","67241","05390","04855 - 13395","03334 - 08203 - 07469 - 98909 - 63373 - 72912 - 19932","7486","6812 - 2037 - 9985","421","09","24/10/2024"
"Kiên Giang","969030","91376","54672","21081 - 21510","62389 - 75844 - 57414 - 03936 - 93888 - 53068 - 64979","9896","4466 - 4242 - 8509","479","32","20/10/2024"
"Bến Tre","611978","47431","08337","80263 - 88969","79016 - 54239 - 08719 - 24605 - 76756 - 38991 - 55912","5426","5715 - 8365 - 9662","475","39","22/10/2024"
"Hậu Giang","550248","47685","08542","34598 - 81624","33000 - 84068 - 90248 - 64377 - 02433 - 35169 - 93282","8667","3169 - 8050 - 5059","527","90","19/10/2024"
"Đồng Nai","471308","53799","04956","53143 - 65455","43087 - 67261 - 16289 - 71154 - 12192 - 10223 - 93445","1015","6117 - 2843 - 2355","053","65","23/10/2024"
"Bình Thuận","299820","74867","33024","00241 - 49783","11544 - 21117 - 21492 - 99345 - 32870 - 08437 - 48488","4191","7540 - 7344 - 2449","933","43","24/10/2024"
"Quảng Nam","146601","46536","79712","50432 - 57304","33735 - 74291 - 62713 - 55190 - 89368 - 37669 - 94809","8134","6725 - 9916 - 1111","062","65","22/10/2024"
"Trà Vinh","169833","20884","99807","98716 - 01274","39978 - 08437 - 14609 - 47865 - 48584 - 89394 - 13573","0472","7338 - 0491 - 4344","535","51","25/10/2024"
"Quảng Ngãi","261602","70913","95890","44200 - 64841","60628 - 67612 - 98188 - 79049 - 29777 - 49581 - 21821","9932","3889 - 0066 - 3321","873","47","19/10/2024"
"Miền Bắc","34212","82932","55785 - 21243","95835 - 49480 - 38030 - 65236 - 46271 - 62205","2451 - 3219 - 5688 - 2123","0175 - 4848 - 4134 - 0992 - 2431 - 7953","672 - 016 - 216","02 - 10 - 20 - 19",,"25/10/2024"
